ad_id,campaign_name,ad_date,location,device,keyword,impressions,clicks,leads,conversions,conversion_rate,cost_amount,sale_amount
A1016,data analytics course,2024-11-10 00:00:00,hyderabad,mobile,learn data analytics,5159.0,193.0,15.0,9.0,0.047,211.67399999999998,1614.0
A1017,data analytics course,2024-11-12 00:00:00,hyderabad,mobile,learn data analytics,4431.0,149.0,19.0,9.0,0.06,207.4,1693.0
A1018,data analytics course,2024-11-07 00:00:00,hyderabad,mobile,analytics for data,3113.0,150.0,20.0,5.0,0.033,217.41,1785.0
A1019,data analytics course,2024-11-05 00:00:00,hyderabad,desktop,data analytics course,5278.0,145.0,25.0,6.0,0.041,226.012,1516.0
A1020,data analytics course,2024-11-21 00:00:00,hyderabad,tablet,learn data analytics,4143.0,184.0,10.0,10.0,0.054,223.3,1735.0
A1021,data analytics course,2024-11-08 00:00:00,hyderabad,tablet,data analitics online,4154.0,171.0,30.0,7.0,0.041,184.23,1803.0
A1022,data analytics course,2024-11-20 00:00:00,hyderabad,desktop,online data analytic,5187.0,122.0,27.0,6.0,0.049,211.24,1322.0
A1023,data analytics course,2024-11-30 00:00:00,hyderabad,tablet,data analytics course,5798.0,188.0,28.0,5.0,0.027,230.17,1452.0
A1024,data analytics course,2024-11-20 00:00:00,hyderabad,tablet,learn data analytics,3718.0,87.0,12.0,3.0,0.034,215.462,1652.0
A1025,data analytics course,2024-11-20 00:00:00,hyderabad,tablet,learn data analytics,3349.0,88.0,22.0,8.0,0.091,181.92,1456.0
A1026,data analytics course,2024-11-02 00:00:00,hyderabad,desktop,online data analytic,5323.0,119.0,17.0,10.0,0.084,205.92,1656.0
A1027,data analytics course,2024-11-21 00:00:00,hyderabad,desktop,data anaytics training,5286.0,167.0,22.0,10.0,0.06,234.89,1688.0
A1028,data analytics course,2024-11-23 00:00:00,hyderabad,mobile,learn data analytics,5469.0,128.0,16.0,3.0,0.023,188.49,1783.0
A1029,data analytics course,2024-11-13 00:00:00,hyderabad,mobile,analytics for data,3351.0,86.0,21.0,9.0,0.105,237.75,1975.0
A1030,data analytics course,2024-11-08 00:00:00,hyderabad,tablet,online data analytic,4834.0,188.0,15.0,4.0,0.021,213.58,1590.0
A1031,data analytics course,2024-11-22 00:00:00,hyderabad,desktop,online data analytic,5065.0,113.0,11.0,5.0,0.044,212.37,1111.0
A1032,data analytics course,2024-11-12 00:00:00,hyderabad,tablet,data analitics online,3872.0,168.0,20.0,4.0,0.024,244.38,1041.0
A1033,data analytics course,2024-11-03 00:00:00,hyderabad,tablet,data analytics course,5509.0,176.0,19.0,7.0,0.04,234.59,1710.0
A1034,data analytics course,2024-11-25 00:00:00,hyderabad,mobile,data analytics course,5610.0,121.0,23.0,8.0,0.066,214.96,1513.4
A1035,data analytics course,2024-11-01 00:00:00,hyderabad,desktop,data anaytics training,5275.0,104.0,16.0,9.0,0.087,236.48,1824.0
A1036,data analytics course,2024-11-07 00:00:00,hyderabad,desktop,data anaytics training,5939.0,146.0,11.0,8.0,0.055,242.9,1833.0
A1037,data analytics course,2024-11-09 00:00:00,hyderabad,mobile,learn data analytics,5131.0,123.0,19.0,5.0,0.041,215.834,1307.0
A1038,data analytics course,2024-11-16 00:00:00,hyderabad,mobile,online data analytic,5786.0,90.0,11.0,6.0,0.067,197.55,1704.0
A1039,data analytics course,2024-11-26 00:00:00,hyderabad,mobile,learn data analytics,4304.0,171.0,17.0,10.0,0.058,192.61,1427.0
A1040,data analytics course,2024-11-12 00:00:00,hyderabad,mobile,data anaytics training,5549.0,94.0,25.0,9.0,0.096,231.23,1849.0
A1041,data analytics course,2024-11-14 00:00:00,hyderabad,desktop,data analitics online,4271.0,112.0,27.0,6.0,0.054,196.07,1209.0
A1042,data analytics course,2024-11-09 00:00:00,hyderabad,mobile,data analytics course,4418.0,113.0,27.0,10.0,0.088,191.55,1634.0
A1043,data analytics course,2024-11-29 00:00:00,hyderabad,desktop,data analitics online,3721.0,145.0,21.0,7.0,0.048,180.95,1960.0
A1044,data analytics course,2024-11-01 00:00:00,hyderabad,tablet,data anaytics training,5783.0,197.0,23.0,6.0,0.03,204.46,1729.0
A1045,data analytics course,2024-11-15 00:00:00,hyderabad,mobile,online data analytic,4866.0,109.0,27.0,5.0,0.046,236.78,1585.0
A1046,data analytics course,2024-11-11 00:00:00,hyderabad,desktop,data anaytics training,5857.0,188.0,20.0,4.0,0.021,222.98,1303.0
A1047,data analytics course,2024-11-08 00:00:00,hyderabad,mobile,analytics for data,5103.0,142.0,24.0,3.0,0.021,234.1,1835.0
A1048,data analytics course,2024-11-24 00:00:00,hyderabad,mobile,online data analytic,4653.0,168.0,27.0,9.0,0.054,240.84,1367.0
A1049,data analytics course,2024-11-21 00:00:00,hyderabad,mobile,learn data analytics,3524.0,110.0,19.0,10.0,0.091,248.86,1524.0
A1050,data analytics course,2024-11-12 00:00:00,hyderabad,mobile,analytics for data,5938.0,192.0,26.0,5.0,0.026,182.84,1080.0
A1051,data analytics course,2024-11-24 00:00:00,hyderabad,tablet,analytics for data,3942.0,101.0,16.0,5.0,0.05,206.62,1746.0
A1052,data analytics course,2024-11-25 00:00:00,hyderabad,mobile,online data analytic,3315.0,157.0,15.0,10.0,0.064,189.56,1026.0
A1053,data analytics course,2024-11-26 00:00:00,hyderabad,tablet,learn data analytics,4945.0,113.0,15.0,10.0,0.088,187.66,1564.0
A1054,data analytics course,2024-11-26 00:00:00,hyderabad,desktop,learn data analytics,3166.0,96.0,29.0,7.0,0.073,196.15,1902.0
A1055,data analytics course,2024-11-05 00:00:00,hyderabad,desktop,data analitics online,4223.0,125.0,15.0,6.0,0.048,183.68,1267.0
A1056,data analytics course,2024-11-21 00:00:00,hyderabad,desktop,analytics for data,4798.0,104.0,18.0,3.0,0.029,210.1,1340.0
A1057,data analytics course,2024-11-16 00:00:00,hyderabad,mobile,data anaytics training,5655.0,194.0,13.0,6.0,0.031,208.58,1692.0
A1058,data analytics course,2024-11-18 00:00:00,hyderabad,desktop,data analitics online,5140.0,144.0,19.0,8.0,0.056,219.48,1054.0
A1059,data analytics course,2024-11-11 00:00:00,hyderabad,mobile,data analitics online,3025.0,179.0,17.0,3.0,0.017,238.81,1448.8
A1060,data analytics course,2024-11-16 00:00:00,hyderabad,tablet,data analytics course,5223.0,166.0,18.0,7.0,0.042,189.76,1219.0
A1061,data analytics course,2024-11-11 00:00:00,hyderabad,tablet,analytics for data,5089.0,166.0,26.0,7.0,0.042,218.59,1946.0
A1062,data analytics course,2024-11-08 00:00:00,hyderabad,desktop,analytics for data,5016.0,118.0,19.0,9.0,0.076,204.31,1833.0
A1063,data analytics course,2024-11-23 00:00:00,hyderabad,mobile,data analytics course,3617.0,185.0,24.0,7.0,0.038,222.32,1963.0
A1064,data analytics course,2024-11-20 00:00:00,hyderabad,tablet,data analytics course,3764.0,116.0,28.0,10.0,0.086,232.03,1348.0
A1065,data analytics course,2024-11-05 00:00:00,hyderabad,desktop,online data analytic,4489.0,99.0,15.0,6.0,0.061,183.73,1264.0
A1066,data analytics course,2024-11-27 00:00:00,hyderabad,mobile,analytics for data,4441.0,172.0,14.0,8.0,0.047,221.18,1771.0
A1067,data analytics course,2024-11-10 00:00:00,hyderabad,desktop,data analitics online,5751.0,138.0,26.0,9.0,0.065,199.11,1337.0
A1068,data analytics course,2024-11-04 00:00:00,hyderabad,desktop,learn data analytics,4036.0,84.0,23.0,10.0,0.119,234.22,1287.0
A1069,data analytics course,2024-11-16 00:00:00,hyderabad,desktop,learn data analytics,4942.0,124.0,18.0,3.0,0.024,240.59,1922.0
A1070,data analytics course,2024-11-06 00:00:00,hyderabad,mobile,data analitics online,4989.0,122.0,12.0,5.0,0.041,215.48,1975.0
A1071,data analytics course,2024-11-04 00:00:00,hyderabad,tablet,learn data analytics,3006.0,180.0,22.0,7.0,0.039,228.14,1556.0
A1072,data analytics course,2024-11-09 00:00:00,hyderabad,desktop,data analitics online,3728.0,133.0,11.0,10.0,0.075,199.13,1676.2
A1073,data analytics course,2024-11-12 00:00:00,hyderabad,tablet,learn data analytics,3734.0,164.0,27.0,8.0,0.049,225.39,1728.0
A1074,data analytics course,2024-11-09 00:00:00,hyderabad,desktop,data analitics online,4621.0,150.0,15.0,6.0,0.04,246.3,1554.0
A1075,data analytics course,2024-11-23 00:00:00,hyderabad,desktop,analytics for data,3212.0,97.0,27.0,10.0,0.103,212.55,1994.0
A1076,data analytics course,2024-11-08 00:00:00,hyderabad,mobile,learn data analytics,4225.0,128.0,30.0,4.0,0.031,228.24,1618.0
A1077,data analytics course,2024-11-05 00:00:00,hyderabad,desktop,online data analytic,4779.0,99.0,26.0,10.0,0.101,233.78,1086.0
A1078,data analytics course,2024-11-09 00:00:00,hyderabad,tablet,online data analytic,5352.0,86.0,11.0,5.0,0.058,234.05,1364.0
A1079,data analytics course,2024-11-05 00:00:00,hyderabad,tablet,analytics for data,5405.0,118.0,25.0,7.0,0.059,187.28,1836.0
A1080,data analytics course,2024-11-25 00:00:00,hyderabad,mobile,analytics for data,5430.0,127.0,14.0,6.0,0.047,199.13,1932.0
A1081,data analytics course,2024-11-30 00:00:00,hyderabad,mobile,learn data analytics,4808.0,83.0,20.0,7.0,0.084,241.35,1038.0
A1082,data analytics course,2024-11-17 00:00:00,hyderabad,mobile,data analitics online,3587.0,149.0,23.0,8.0,0.054,217.53,1604.2
A1083,data analytics course,2024-11-28 00:00:00,hyderabad,mobile,data analitics online,4683.0,168.0,30.0,8.0,0.048,215.28,1327.0
A1084,data analytics course,2024-11-03 00:00:00,hyderabad,tablet,analytics for data,5814.0,112.0,11.0,8.0,0.071,227.38,1467.0
A1085,data analytics course,2024-11-19 00:00:00,hyderabad,desktop,data anaytics training,3292.0,123.0,28.0,6.0,0.049,233.2,1174.0
A1086,data analytics course,2024-11-23 00:00:00,hyderabad,desktop,learn data analytics,4305.0,174.0,20.0,3.0,0.017,206.02,1057.0
A1087,data analytics course,2024-11-03 00:00:00,hyderabad,tablet,analytics for data,4368.0,143.0,27.0,7.0,0.049,220.30599999999998,1199.0
A1088,data analytics course,2024-11-07 00:00:00,hyderabad,tablet,online data analytic,5935.0,195.0,23.0,9.0,0.046,209.68,1966.0
A1089,data analytics course,2024-11-02 00:00:00,hyderabad,desktop,online data analytic,5847.0,176.0,13.0,6.0,0.034,241.04,1194.0
A1090,data analytics course,2024-11-15 00:00:00,hyderabad,desktop,analytics for data,4851.0,141.0,28.0,5.0,0.035,227.39,1821.0
A1091,data analytics course,2024-11-20 00:00:00,hyderabad,tablet,data analitics online,4710.0,108.0,19.0,10.0,0.093,204.16,1731.0
A1092,data analytics course,2024-11-23 00:00:00,hyderabad,tablet,analytics for data,3345.0,112.0,11.0,6.0,0.054,216.51999999999998,1859.0
A1093,data analytics course,2024-11-20 00:00:00,hyderabad,tablet,online data analytic,5903.0,144.0,23.0,9.0,0.062,184.41,1188.0
A1094,data analytics course,2024-11-01 00:00:00,hyderabad,tablet,data analitics online,5004.0,145.0,22.0,5.0,0.034,216.45,1496.0
A1095,data analytics course,2024-11-14 00:00:00,hyderabad,desktop,data anaytics training,3947.0,183.0,15.0,8.0,0.044,197.3,1645.0
A1096,data analytics course,2024-11-28 00:00:00,hyderabad,tablet,learn data analytics,3690.0,113.0,20.0,5.0,0.044,229.42,1915.0
A1097,data analytics course,2024-11-15 00:00:00,hyderabad,tablet,data analitics online,5943.0,101.0,27.0,6.0,0.059,187.32,1614.0
A1098,data analytics course,2024-11-25 00:00:00,hyderabad,tablet,data analytics course,5357.0,189.0,24.0,3.0,0.016,222.5,1839.0
A1099,data analytics course,2024-11-06 00:00:00,hyderabad,tablet,online data analytic,3596.0,154.0,30.0,9.0,0.058,236.14,1036.0
A1100,data analytics course,2024-11-29 00:00:00,hyderabad,desktop,online data analytic,5162.0,179.0,16.0,5.0,0.028,246.76,1052.0
A1101,data analytics course,2024-11-17 00:00:00,hyderabad,tablet,learn data analytics,3747.0,148.0,18.0,8.0,0.054,244.41,1092.0
A1102,data analytics course,2024-11-04 00:00:00,hyderabad,mobile,online data analytic,4822.0,177.0,26.0,9.0,0.051,197.03,1909.0
A1103,data analytics course,2024-11-29 00:00:00,hyderabad,desktop,analytics for data,5800.0,119.0,11.0,8.0,0.067,221.36,1643.2
A1104,data analytics course,2024-11-15 00:00:00,hyderabad,tablet,data analytics course,3594.0,89.0,14.0,6.0,0.067,203.706,1026.0
A1105,data analytics course,2024-11-28 00:00:00,hyderabad,tablet,analytics for data,4765.0,146.0,23.0,5.0,0.034,230.22,1944.0
A1106,data analytics course,2024-11-30 00:00:00,hyderabad,desktop,data analitics online,4128.0,109.0,12.0,5.0,0.046,183.65,1466.0
A1107,data analytics course,2024-11-03 00:00:00,hyderabad,tablet,learn data analytics,5127.0,159.0,21.0,4.0,0.025,197.16,1867.0
A1108,data analytics course,2024-11-22 00:00:00,hyderabad,desktop,analytics for data,5674.0,144.0,12.0,3.0,0.021,235.36,1505.0
A1109,data analytics course,2024-11-20 00:00:00,hyderabad,tablet,online data analytic,3793.0,122.0,19.0,8.0,0.066,237.22,1842.0
A1110,data analytics course,2024-11-08 00:00:00,hyderabad,mobile,data analytics course,4315.0,112.0,28.0,9.0,0.08,235.33,1116.0
A1111,data analytics course,2024-11-24 00:00:00,hyderabad,mobile,learn data analytics,4704.0,174.0,21.0,10.0,0.057,192.32,1501.0
A1112,data analytics course,2024-11-09 00:00:00,hyderabad,mobile,online data analytic,3349.0,168.0,23.0,9.0,0.054,235.6,1894.0
A1113,data analytics course,2024-11-25 00:00:00,hyderabad,mobile,data analytics course,3501.0,173.0,28.0,10.0,0.058,223.9,1179.0
A1114,data analytics course,2024-11-20 00:00:00,hyderabad,desktop,data analytics course,4982.0,91.0,24.0,9.0,0.099,203.52,1838.0
A1115,data analytics course,2024-11-21 00:00:00,hyderabad,desktop,data anaytics training,5405.0,140.0,21.0,8.0,0.057,195.69,1094.0
A1116,data analytics course,2024-11-24 00:00:00,hyderabad,mobile,online data analytic,3425.0,93.0,26.0,4.0,0.043,229.76,1344.0
A1117,data analytics course,2024-11-05 00:00:00,hyderabad,mobile,data analytics course,5263.0,114.0,23.0,5.0,0.044,189.13,1434.0
A1118,data analytics course,2024-11-16 00:00:00,hyderabad,tablet,online data analytic,3889.0,172.0,21.0,10.0,0.058,215.18800000000002,1766.0
A1119,data analytics course,2024-11-03 00:00:00,hyderabad,tablet,online data analytic,3327.0,188.0,24.0,6.0,0.032,193.76,1220.0
A1120,data analytics course,2024-11-23 00:00:00,hyderabad,mobile,learn data analytics,4169.0,117.0,29.0,4.0,0.034,214.18,1348.0
A1121,data analytics course,2024-11-23 00:00:00,hyderabad,mobile,analytics for data,5471.0,113.0,27.0,9.0,0.08,215.57,1123.0
A1122,data analytics course,2024-11-24 00:00:00,hyderabad,tablet,learn data analytics,3550.0,109.0,14.0,8.0,0.073,240.33,1982.0
A1123,data analytics course,2024-11-20 00:00:00,hyderabad,desktop,data analitics online,3178.0,174.0,18.0,10.0,0.057,225.67,1140.0
A1124,data analytics course,2024-11-10 00:00:00,hyderabad,mobile,learn data analytics,4673.0,96.0,24.0,5.0,0.052,192.88,1962.0
A1125,data analytics course,2024-11-04 00:00:00,hyderabad,mobile,data anaytics training,4254.0,110.0,11.0,4.0,0.036,187.87,1172.0
A1126,data analytics course,2024-11-23 00:00:00,hyderabad,tablet,online data analytic,3658.0,163.0,23.0,7.0,0.043,237.63,1699.0
A1127,data analytics course,2024-11-18 00:00:00,hyderabad,mobile,learn data analytics,5319.0,161.0,13.0,4.0,0.025,235.98,1423.0
A1128,data analytics course,2024-11-04 00:00:00,hyderabad,mobile,data analytics course,5278.0,195.0,30.0,7.0,0.036,193.49,1456.0
A1129,data analytics course,2024-11-05 00:00:00,hyderabad,tablet,analytics for data,3755.0,84.0,14.0,9.0,0.107,218.88,1299.0
A1130,data analytics course,2024-11-28 00:00:00,hyderabad,tablet,data analytics course,4580.0,113.0,11.0,6.0,0.053,194.82,1248.0
A1131,data analytics course,2024-11-09 00:00:00,hyderabad,desktop,data anaytics training,3809.0,117.0,12.0,5.0,0.043,225.14,1495.0
A1132,data analytics course,2024-11-20 00:00:00,hyderabad,mobile,online data analytic,5118.0,135.0,27.0,6.0,0.044,219.99,1089.0
A1133,data analytics course,2024-11-27 00:00:00,hyderabad,tablet,data anaytics training,5766.0,92.0,28.0,7.0,0.076,186.14,1013.0
A1134,data analytics course,2024-11-04 00:00:00,hyderabad,desktop,data analytics course,3934.0,188.0,16.0,9.0,0.048,206.21,1426.2
A1135,data analytics course,2024-11-20 00:00:00,hyderabad,desktop,learn data analytics,4724.0,101.0,13.0,7.0,0.069,228.38,1243.0
A1136,data analytics course,2024-11-04 00:00:00,hyderabad,mobile,data analytics course,5895.0,111.0,29.0,4.0,0.036,205.25,1693.0
A1137,data analytics course,2024-11-26 00:00:00,hyderabad,mobile,online data analytic,4048.0,122.0,28.0,10.0,0.082,202.23,1411.4
A1138,data analytics course,2024-11-22 00:00:00,hyderabad,mobile,online data analytic,3169.0,99.0,21.0,6.0,0.061,237.68,1509.0
A1139,data analytics course,2024-11-01 00:00:00,hyderabad,tablet,data anaytics training,4535.0,154.0,11.0,3.0,0.019,229.29,1434.0
A1140,data analytics course,2024-11-11 00:00:00,hyderabad,desktop,analytics for data,3849.0,129.0,22.0,10.0,0.078,249.29,1767.0
A1141,data analytics course,2024-11-16 00:00:00,hyderabad,mobile,analytics for data,4259.0,323.0,10.0,10.0,0.031,182.98,1048.0
A1142,data analytics course,2024-11-17 00:00:00,hyderabad,tablet,data analytics course,3628.0,143.0,18.0,9.0,0.063,212.894,1566.0
A1143,data analytics course,2024-11-23 00:00:00,hyderabad,desktop,data analitics online,3269.0,80.0,12.0,4.0,0.05,219.39600000000002,1753.0
A1144,data analytics course,2024-11-07 00:00:00,hyderabad,desktop,online data analytic,3724.0,134.0,26.0,9.0,0.067,188.02,1891.0
A1145,data analytics course,2024-11-22 00:00:00,hyderabad,desktop,data analitics online,4838.0,174.0,21.0,3.0,0.017,242.35,1599.0
A1146,data analytics course,2024-11-13 00:00:00,hyderabad,desktop,data analytics course,4524.0,196.0,15.0,8.0,0.041,192.01,1048.0
A1147,data analytics course,2024-11-14 00:00:00,hyderabad,tablet,learn data analytics,4694.0,194.0,17.0,7.0,0.036,228.15,1874.0
A1148,data analytics course,2024-11-06 00:00:00,hyderabad,tablet,online data analytic,4326.0,180.0,13.0,9.0,0.05,221.67,1427.0
A1149,data analytics course,2024-11-01 00:00:00,hyderabad,desktop,data anaytics training,4235.0,100.0,10.0,8.0,0.08,222.61,1814.0
A1150,data analytics course,2024-11-13 00:00:00,hyderabad,mobile,analytics for data,4367.0,153.0,29.0,9.0,0.059,184.51,1507.0
A1151,data analytics course,2024-11-05 00:00:00,hyderabad,tablet,data anaytics training,3748.0,110.0,24.0,9.0,0.082,198.68,1041.0
A1152,data analytics course,2024-11-13 00:00:00,hyderabad,tablet,online data analytic,3901.0,116.0,21.0,4.0,0.034,196.20999999999998,1483.0
A1153,data analytics course,2024-11-14 00:00:00,hyderabad,desktop,data analytics course,3335.0,156.0,29.0,7.0,0.045,236.98,1143.0
A1154,data analytics course,2024-11-25 00:00:00,hyderabad,tablet,data analytics course,5671.0,177.0,19.0,6.0,0.034,210.74,1172.0
A1155,data analytics course,2024-11-15 00:00:00,hyderabad,mobile,data analytics course,3408.0,89.0,25.0,9.0,0.101,214.78,1898.0
A1156,data analytics course,2024-11-15 00:00:00,hyderabad,mobile,analytics for data,4422.0,155.0,14.0,8.0,0.052,183.96,1143.0
A1157,data analytics course,2024-11-22 00:00:00,hyderabad,tablet,data analytics course,3097.0,123.0,20.0,8.0,0.065,190.55,1640.0
A1158,data analytics course,2024-11-12 00:00:00,hyderabad,mobile,learn data analytics,3621.0,102.0,10.0,5.0,0.049,244.82,1375.0
A1159,data analytics course,2024-11-07 00:00:00,hyderabad,mobile,data analitics online,4806.0,150.0,15.0,9.0,0.06,244.53,1602.0
A1160,data analytics course,2024-11-05 00:00:00,hyderabad,desktop,analytics for data,4440.0,160.0,11.0,6.0,0.038,245.87,1417.2
A1161,data analytics course,2024-11-24 00:00:00,hyderabad,mobile,learn data analytics,3901.0,143.0,29.0,4.0,0.028,191.38,1786.0
A1162,data analytics course,2024-11-04 00:00:00,hyderabad,tablet,online data analytic,4673.0,178.0,29.0,6.0,0.034,222.46,1219.0
A1163,data analytics course,2024-11-13 00:00:00,hyderabad,desktop,data analytics course,3542.0,152.0,13.0,9.0,0.059,208.96,1735.0
A1164,data analytics course,2024-11-13 00:00:00,hyderabad,tablet,analytics for data,4347.0,139.0,26.0,5.0,0.036,238.19,1384.0
A1165,data analytics course,2024-11-15 00:00:00,hyderabad,mobile,learn data analytics,5014.0,175.0,25.0,7.0,0.04,247.24,1499.0
A1166,data analytics course,2024-11-03 00:00:00,hyderabad,mobile,data analitics online,4185.0,92.0,21.0,9.0,0.098,218.46,1567.0
A1167,data analytics course,2024-11-03 00:00:00,hyderabad,desktop,data anaytics training,5964.0,123.0,17.0,6.0,0.049,204.92799999999997,1363.0
A1168,data analytics course,2024-11-20 00:00:00,hyderabad,mobile,data anaytics training,5124.0,86.0,13.0,10.0,0.116,183.71,1137.0
A1169,data analytics course,2024-11-22 00:00:00,hyderabad,mobile,online data analytic,4162.0,117.0,28.0,10.0,0.085,238.08,1186.0
A1170,data analytics course,2024-11-09 00:00:00,hyderabad,mobile,online data analytic,4330.0,146.0,20.0,3.0,0.021,191.9,1748.0
A1171,data analytics course,2024-11-13 00:00:00,hyderabad,desktop,online data analytic,3268.0,89.0,17.0,4.0,0.045,220.772,1233.0
A1172,data analytics course,2024-11-23 00:00:00,hyderabad,desktop,learn data analytics,3483.0,195.0,27.0,7.0,0.036,213.99,1796.0
A1173,data analytics course,2024-11-27 00:00:00,hyderabad,mobile,analytics for data,4519.0,170.0,22.0,7.0,0.041,240.63,1012.0
A1174,data analytics course,2024-11-10 00:00:00,hyderabad,desktop,data analitics online,3605.0,97.0,21.0,7.0,0.072,240.29,1682.0
A1175,data analytics course,2024-11-17 00:00:00,hyderabad,tablet,data analytics course,5076.0,159.0,15.0,10.0,0.063,204.97,1638.0
A1176,data analytics course,2024-11-20 00:00:00,hyderabad,mobile,online data analytic,5352.0,131.0,24.0,10.0,0.076,225.86,1961.0
A1177,data analytics course,2024-11-06 00:00:00,hyderabad,mobile,data analitics online,5503.0,108.0,11.0,7.0,0.065,185.26,1921.0
A1178,data analytics course,2024-11-20 00:00:00,hyderabad,mobile,data analytics course,4308.0,93.0,19.0,9.0,0.097,209.83,1694.0
A1179,data analytics course,2024-11-06 00:00:00,hyderabad,desktop,data analytics course,3555.0,137.0,29.0,3.0,0.022,213.5,1596.8
A1180,data analytics course,2024-11-28 00:00:00,hyderabad,mobile,analytics for data,5615.0,81.0,30.0,6.0,0.074,193.14,1255.0
A1181,data analytics course,2024-11-20 00:00:00,hyderabad,mobile,learn data analytics,4743.0,160.0,23.0,10.0,0.062,206.22,1825.0
A1182,data analytics course,2024-11-30 00:00:00,hyderabad,desktop,online data analytic,3337.0,186.0,16.0,8.0,0.043,183.58,1045.0
A1183,data analytics course,2024-11-06 00:00:00,hyderabad,desktop,online data analytic,3234.0,105.0,27.0,10.0,0.095,238.8,1248.0
A1184,data analytics course,2024-11-25 00:00:00,hyderabad,desktop,data anaytics training,3913.0,131.0,14.0,10.0,0.076,203.69,1079.0
A1185,data analytics course,2024-11-29 00:00:00,hyderabad,desktop,learn data analytics,3208.0,129.0,18.0,8.0,0.062,204.2,1456.0
A1186,data analytics course,2024-11-14 00:00:00,hyderabad,desktop,data analytics course,5972.0,187.0,30.0,7.0,0.037,220.64,1980.0
A1187,data analytics course,2024-11-25 00:00:00,hyderabad,mobile,data anaytics training,3662.0,167.0,10.0,7.0,0.042,235.43,1684.0
A1188,data analytics course,2024-11-28 00:00:00,hyderabad,desktop,data analitics online,3359.0,140.0,29.0,7.0,0.05,182.13,1973.0
A1189,data analytics course,2024-11-10 00:00:00,hyderabad,mobile,analytics for data,3700.0,198.0,14.0,5.0,0.025,220.67,1531.0
A1190,data analytics course,2024-11-04 00:00:00,hyderabad,tablet,online data analytic,3835.0,196.0,10.0,9.0,0.046,218.07,1871.0
A1191,data analytics course,2024-11-18 00:00:00,hyderabad,desktop,data anaytics training,5638.0,140.0,22.0,5.0,0.036,208.02,1652.0
A1192,data analytics course,2024-11-16 00:00:00,hyderabad,desktop,data anaytics training,5825.0,157.0,16.0,3.0,0.019,230.6,1041.0
A1193,data analytics course,2024-11-22 00:00:00,hyderabad,tablet,learn data analytics,5428.0,91.0,11.0,3.0,0.033,248.38,1835.0
A1194,data analytics course,2024-11-16 00:00:00,hyderabad,desktop,learn data analytics,3571.0,140.0,21.0,9.0,0.064,238.12,1762.0
A1195,data analytics course,2024-11-04 00:00:00,hyderabad,mobile,online data analytic,3638.0,154.0,11.0,8.0,0.052,182.17,1413.0
A1196,data analytics course,2024-11-26 00:00:00,hyderabad,tablet,analytics for data,4505.0,133.0,23.0,3.0,0.023,200.52,1562.0
A1197,data analytics course,2024-11-20 00:00:00,hyderabad,mobile,data analitics online,5016.0,144.0,26.0,9.0,0.062,238.59,1620.0
A1198,data analytics course,2024-11-18 00:00:00,hyderabad,tablet,data analitics online,3071.0,141.0,10.0,6.0,0.043,208.2,1647.0
